seat,champion,specialization_family,usually_choose,alternative,rule_of_thumb,tags,priority_for_rules,notes_for_cursor
1,Bruenor,Gold / Support,Battle Master,Gold Find,Gebruik gold voor farm/favor; support voor push.,"gold, support, progression",low,buff dwarves or economy runs
1,D'hani,Support / Debuff,Debuff focus,Paint focus,Kies wat je formatie het meest versterkt; vaak debuff/support tenzij je bewust haar eigen scaling stapelt.,"debuff, support, niche",low,needs specific setup for best value
1,Deekin,Speed / Utility,Boss Wants Speed,Confidence in the Boss,Speed is standaard voor farming en snelle clears.,"speed, farming",high,default automation/speed pick
1,Ezmerelda,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
1,Gale,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
1,K'thriss,Support / Debuff,Efficient Bookkeeping,Pain,Meestal support/debuff voor push; kies de alternatieve scaling alleen als je formatie daar expliciet op leunt.,"support, debuff, push",medium,works best when adjacent/support synergies matter
1,NERDS,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
1,Nixie,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
1,Orkira,Healing / Support,Healing route,Support route,Healing/survival wanneer sustain nodig is; anders support.,"healing, support, survival",medium,placeholder rule; review against champion-specific guide when available
1,Sisaspia,Healing / Support,Spores,Healing,Healing/spec voor veilige progressie; support als overleven al stabiel is.,"healing, support, progression",medium,good in survival-sensitive variants
1,Thellora,Speed / Utility,Speed route,Support route,Gebruik speed voor farming en snelle clears; wijk af als survival of specifieke utility belangrijker is.,"speed, farming",high,placeholder rule; review against champion-specific guide when available
1,Turiel,Tank / Support,Frontline,Control,Tank/spec voor survivability; control als enemies positioning relevant is.,"tank, control, survival",medium,front column usage matters
1,Voronika,Support / Utility,Support routing,Other utility,Gebruik meestal de support-keuze; alleen afwijken bij niche utility-setup.,"support, utility",medium,flex slot support logic
